,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP,CL,BRN,ES,ZN,GC,6E,TFM
FGBS,0.9999999999999998,0.8477856314963185,0.7118161795173131,0.5124907712951124,0.7096507780381587,0.6907856555540397,-0.4481709928865681,-0.45208500914633937,0.0040165881211440034,0.5469621635304635,0.26243099555858007,0.2181071545171296,-0.29868676640897424
FGBM,0.8477856314963185,0.9999999999999998,0.837582929271735,0.6981303274582136,0.8208046912272899,0.7771713629075584,-0.42254456278508434,-0.4266980710603219,-0.016679922322612915,0.6282348517906428,0.22559336262454543,0.19963385251484464,-0.27972747309763096
FGBL,0.7118161795173131,0.837582929271735,1.0,0.8024715537436214,0.8114347236375504,0.7649383286380348,-0.35126312433113815,-0.3559847940443287,-0.026437143884541124,0.6017206192760334,0.18416274000924382,0.15423612057792999,-0.21716091176078137
FGBX,0.5124907712951123,0.6981303274582136,0.8024715537436214,0.9999999999999998,0.7531612303430081,0.6815888523192583,-0.2378146406879857,-0.23653695505169078,-0.04119586773161056,0.5449093904500756,0.10779821804431085,0.05959529847244424,-0.1584661407952007
FOAT,0.7096507780381588,0.82080469122729,0.8114347236375505,0.7531612303430081,1.0,0.8860371834483787,-0.4169393730901562,-0.4211813500659078,0.17214128635092232,0.5931433517378364,0.2405234336988538,0.1849474939395149,-0.2718219675467973
FBTP,0.6907856555540397,0.7771713629075584,0.7649383286380348,0.6815888523192583,0.8860371834483787,1.0,-0.42188077427800563,-0.432968176490848,0.2637242779565429,0.5561995203550096,0.265896426796407,0.19299599479131468,-0.28452553772633443
CL,-0.44817099288656814,-0.42254456278508434,-0.3512631243311381,-0.2378146406879857,-0.41693937309015616,-0.42188077427800563,0.9999999999999998,0.9561484390883804,-0.1024343264919549,-0.3187418281959013,-0.18609914193315277,-0.23425449022987033,0.44123983681727297
BRN,-0.45208500914633937,-0.42669807106032187,-0.3559847940443287,-0.2365369550516908,-0.4211813500659078,-0.43296817649084796,0.9561484390883804,0.9999999999999998,-0.10020036100664143,-0.32373094729841795,-0.18944354903448846,-0.2448833445392632,0.4602020538510984
ES,0.0040165881211440034,-0.01667992232261292,-0.02643714388454112,-0.04119586773161056,0.17214128635092232,0.2637242779565429,-0.1024343264919549,-0.10020036100664143,1.0,-0.0301362570934843,0.2139985053824298,0.05665491678074342,-0.08093513205649522
ZN,0.5469621635304636,0.6282348517906428,0.6017206192760334,0.5449093904500756,0.5931433517378364,0.5561995203550097,-0.3187418281959013,-0.32373094729841795,-0.0301362570934843,1.0,0.24669023506359108,0.34495444594502767,-0.20102214802659799
GC,0.26243099555858007,0.2255933626245454,0.1841627400092438,0.10779821804431085,0.24052343369885382,0.26589642679640696,-0.18609914193315277,-0.18944354903448846,0.2139985053824298,0.24669023506359108,1.0,0.38061379865548145,-0.11687896833325183
6E,0.2181071545171296,0.19963385251484464,0.15423612057792996,0.059595298472444234,0.1849474939395149,0.1929959947913147,-0.23425449022987033,-0.24488334453926316,0.05665491678074343,0.34495444594502767,0.38061379865548145,1.0,-0.20370044649476451
TFM,-0.29868676640897424,-0.27972747309763096,-0.21716091176078137,-0.1584661407952007,-0.27182196754679727,-0.28452553772633443,0.44123983681727297,0.46020205385109836,-0.08093513205649522,-0.20102214802659799,-0.11687896833325181,-0.20370044649476451,0.9999999999999998
