,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP,CL,BRN,ES,ZN,GC,6E,TFM
FGBS,1.0,0.11140421158681692,0.0855112418591465,0.0964020524403105,0.11076233435831759,0.11676619366194892,-0.12351139847801794,-0.08421205817373614,-0.024893094770292515,0.1641692217991075,0.04937357978174493,0.04552264784539592,-0.006622811987313907
FGBM,0.11140421158681692,1.0,0.0737239738866115,0.12453272301308903,0.12547853911714196,0.14543717699561198,-0.10625860446025502,-0.06939551116776832,-0.010698293109111521,0.1682301176123561,0.04639078827610066,0.03763233041453476,-0.003863326172356254
FGBL,0.0855112418591465,0.07372397388661152,0.9999999999999998,0.10801790333432207,0.10451284831549774,0.09857820775911784,-0.08049099994658783,-0.061710315080912646,-0.01781138974190439,0.12815396548841326,0.03464160699504938,0.021652277023017683,-0.0075436454744205895
FGBX,0.0964020524403105,0.12453272301308903,0.10801790333432207,1.0,0.15795713439313533,0.17956823933222274,-0.11256827252629696,-0.0829721779078606,-0.0511101953634185,0.2240026815562506,0.03408038933959384,0.018103451962499194,-0.004994863268161563
FOAT,0.11076233435831759,0.12547853911714196,0.10451284831549774,0.15795713439313533,1.0,0.1996616022836621,-0.1453264966982616,-0.10043050372797734,0.031255051880781703,0.20199156409363384,0.06552032827920858,0.05792382298322136,-0.012401702726857904
FBTP,0.1167661936619489,0.14543717699561198,0.09857820775911785,0.17956823933222274,0.1996616022836621,0.9999999999999998,-0.17587940554290718,-0.12659336602759222,0.07437198672182234,0.22522960429157948,0.09435290645104741,0.07848920517085518,-0.016944864757523933
CL,-0.12351139847801794,-0.10625860446025502,-0.08049099994658782,-0.11256827252629696,-0.1453264966982616,-0.1758794055429072,1.0,0.6495827001861924,-0.05455604461833047,-0.23581089782350664,-0.08425253355525746,-0.16414636471846575,0.053801373793255766
BRN,-0.08421205817373613,-0.06939551116776832,-0.061710315080912646,-0.0829721779078606,-0.10043050372797734,-0.1265933660275922,0.6495827001861922,1.0,-0.03970805556521933,-0.16785657810200275,-0.061720638623565166,-0.1174111489402282,0.029606200296059267
ES,-0.024893094770292515,-0.010698293109111521,-0.01781138974190439,-0.0511101953634185,0.031255051880781703,0.07437198672182234,-0.05455604461833046,-0.03970805556521933,1.0,-0.1113287912836902,0.16871007208612315,0.11495616537872007,-0.01753258269018703
ZN,0.16416922179910748,0.16823011761235612,0.12815396548841326,0.2240026815562506,0.20199156409363384,0.2252296042915795,-0.23581089782350667,-0.16785657810200277,-0.11132879128369022,1.0,0.12878231614897945,0.23674091562797306,-0.01400596155761697
GC,0.04937357978174493,0.04639078827610066,0.034641606995049375,0.03408038933959384,0.06552032827920859,0.09435290645104741,-0.08425253355525744,-0.06172063862356517,0.16871007208612315,0.12878231614897942,1.0,0.28454922386502085,-0.013639545389700327
6E,0.04552264784539592,0.03763233041453476,0.021652277023017686,0.018103451962499194,0.05792382298322136,0.07848920517085517,-0.16414636471846572,-0.11741114894022821,0.11495616537872007,0.23674091562797306,0.2845492238650208,1.0,-0.0246617600006656
TFM,-0.006622811987313906,-0.0038633261723562537,-0.0075436454744205895,-0.004994863268161563,-0.012401702726857904,-0.016944864757523936,0.053801373793255766,0.029606200296059267,-0.01753258269018703,-0.014005961557616969,-0.013639545389700329,-0.024661760000665597,1.0
