run,n_test,tau,n_up,prec_up,wrongway_up,rec_up,f1_up,n_down,prec_down,wrongway_down,rec_down,f1_down,macro_f1_dir
fbtp_stack6_h60_L4H2_sess,386979,argmax,14422,0.3855,0.17,0.0804,0.133,11405,0.3258,0.2012,0.0561,0.0957,0.1144
fbtp_stack6_h60_L4H2_sess,386979,0.55,324,0.5432,0.1173,0.0025,0.0051,203,0.399,0.1133,0.0012,0.0024,0.0037
fbtp_stack6_h60_L4H2_sess,386979,0.6,52,0.6154,0.0769,0.0005,0.0009,27,0.5185,0.1481,0.0002,0.0004,0.0006
fbtp_stack6_h60_L4H2_sess,386979,0.65,5,0.8,0.0,0.0001,0.0001,1,1.0,0.0,0.0,0.0,0.0001
fbtp_stack6_h60_L8H1_sess,386979,argmax,18539,0.3514,0.1735,0.0942,0.1486,11743,0.3302,0.2017,0.0586,0.0995,0.1241
fbtp_stack6_h60_L8H1_sess,386979,0.55,1652,0.4165,0.1477,0.0099,0.0194,517,0.4178,0.1161,0.0033,0.0065,0.0129
fbtp_stack6_h60_L8H1_sess,386979,0.6,469,0.4819,0.1087,0.0033,0.0065,103,0.534,0.0971,0.0008,0.0017,0.0041
fbtp_stack6_h60_L8H1_sess,386979,0.65,102,0.4706,0.0882,0.0007,0.0014,17,0.6471,0.1176,0.0002,0.0003,0.0008
fbtp_stack6_h60_sess,386979,argmax,6965,0.4168,0.2119,0.042,0.0763,9368,0.348,0.2101,0.0492,0.0862,0.0813
fbtp_stack6_h60_sess,386979,0.55,214,0.6028,0.1636,0.0019,0.0037,292,0.3493,0.1301,0.0015,0.0031,0.0034
fbtp_stack6_h60_sess,386979,0.6,32,0.5,0.25,0.0002,0.0005,62,0.2258,0.1935,0.0002,0.0004,0.0004
fbtp_stack6_h60_sess,386979,0.65,6,0.5,0.3333,0.0,0.0001,16,0.3125,0.1875,0.0001,0.0002,0.0002
fbtp_h60_sess,386979,argmax,6485,0.4244,0.1655,0.0398,0.0728,6612,0.3262,0.2229,0.0326,0.0592,0.066
fbtp_h60_sess,386979,0.55,391,0.5064,0.1611,0.0029,0.0057,140,0.5714,0.1786,0.0012,0.0024,0.004
fbtp_h60_sess,386979,0.6,89,0.5506,0.1798,0.0007,0.0014,18,0.6667,0.1667,0.0002,0.0004,0.0009
fbtp_h60_sess,386979,0.65,10,0.5,0.3,0.0001,0.0001,0,,,0.0,0.0,0.0001
fgbx_stack6_h60_sess,273241,argmax,1947,0.3133,0.0847,0.0248,0.0459,3067,0.2449,0.1832,0.0305,0.0542,0.05
fgbx_stack6_h60_sess,273241,0.55,286,0.2762,0.042,0.0032,0.0063,352,0.3324,0.0739,0.0047,0.0094,0.0078
fgbx_stack6_h60_sess,273241,0.6,102,0.2549,0.0196,0.0011,0.0021,97,0.3402,0.0825,0.0013,0.0027,0.0024
fgbx_stack6_h60_sess,273241,0.65,33,0.2121,0.0,0.0003,0.0006,15,0.3333,0.0,0.0002,0.0004,0.0005
fgbx_h60_sess,277226,argmax,316,0.3892,0.0823,0.0052,0.0102,765,0.3072,0.1582,0.0104,0.0202,0.0152
fgbx_h60_sess,277226,0.55,34,0.3824,0.0588,0.0005,0.0011,104,0.2404,0.125,0.0011,0.0022,0.0016
fgbx_h60_sess,277226,0.6,7,0.7143,0.0,0.0002,0.0004,28,0.1429,0.0714,0.0002,0.0004,0.0004
fgbx_h60_sess,277226,0.65,0,,,0.0,0.0,7,0.0,0.1429,0.0,0.0,0.0
foat_lean3_h60_sess,284588,argmax,3836,0.3975,0.1517,0.0345,0.0636,4012,0.2851,0.2026,0.0269,0.0491,0.0563
foat_lean3_h60_sess,284588,0.55,320,0.4406,0.125,0.0032,0.0063,268,0.3769,0.153,0.0024,0.0047,0.0055
foat_lean3_h60_sess,284588,0.6,89,0.4045,0.1124,0.0008,0.0016,57,0.4211,0.1754,0.0006,0.0011,0.0014
foat_lean3_h60_sess,284588,0.65,23,0.3913,0.0,0.0002,0.0004,15,0.3333,0.2,0.0001,0.0002,0.0003
foat_stack6_h60_sess,284588,argmax,5204,0.4374,0.1689,0.0515,0.0922,4641,0.3277,0.2213,0.0358,0.0645,0.0784
foat_stack6_h60_sess,284588,0.55,406,0.5345,0.1478,0.0049,0.0097,201,0.3532,0.0896,0.0017,0.0033,0.0065
foat_stack6_h60_sess,284588,0.6,100,0.58,0.07,0.0013,0.0026,39,0.2821,0.0256,0.0003,0.0005,0.0015
foat_stack6_h60_sess,284588,0.65,11,0.3636,0.0,0.0001,0.0002,2,0.5,0.0,0.0,0.0,0.0001
foat_h300_sess,277307,argmax,45412,0.3682,0.2645,0.198,0.2575,31223,0.3389,0.2953,0.1363,0.1944,0.2259
foat_h300_sess,277307,0.55,119,0.2437,0.4538,0.0003,0.0007,25,0.36,0.32,0.0001,0.0002,0.0004
foat_h300_sess,277307,0.6,8,0.125,0.625,0.0,0.0,0,,,0.0,0.0,0.0
foat_h300_sess,277307,0.65,0,,,0.0,0.0,0,,,0.0,0.0,0.0
foat_h60_seed2_sess,284591,argmax,1083,0.4691,0.1376,0.0115,0.0225,557,0.3824,0.1957,0.005,0.0099,0.0162
foat_h60_seed2_sess,284591,0.55,67,0.6716,0.0746,0.001,0.002,16,0.1875,0.0625,0.0001,0.0001,0.001
foat_h60_seed2_sess,284591,0.6,4,0.75,0.0,0.0001,0.0001,2,0.0,0.0,0.0,0.0,0.0001
foat_h60_seed2_sess,284591,0.65,0,,,0.0,0.0,0,,,0.0,0.0,0.0
foat_h60_seed3_sess,284591,argmax,2213,0.4365,0.1722,0.0219,0.0417,3869,0.2701,0.3642,0.0246,0.045,0.0433
foat_h60_seed3_sess,284591,0.55,162,0.4691,0.2469,0.0017,0.0034,393,0.2188,0.5751,0.002,0.004,0.0037
foat_h60_seed3_sess,284591,0.6,41,0.5122,0.2195,0.0005,0.001,82,0.122,0.7195,0.0002,0.0005,0.0008
foat_h60_seed3_sess,284591,0.65,5,0.6,0.0,0.0001,0.0001,6,0.0,0.6667,0.0,0.0,0.0001
foat_h60_sess,284591,argmax,4899,0.3942,0.1347,0.0437,0.0787,2214,0.2832,0.2769,0.0147,0.028,0.0534
foat_h60_sess,284591,0.55,536,0.5187,0.1604,0.0063,0.0124,70,0.2143,0.2571,0.0004,0.0007,0.0065
foat_h60_sess,284591,0.6,190,0.5105,0.2105,0.0022,0.0044,11,0.2727,0.2727,0.0001,0.0001,0.0023
foat_h60_sess,284591,0.65,41,0.4634,0.2927,0.0004,0.0009,0,,,0.0,0.0,0.0004
